#{"t_start": 1705758249.0751412, "env_id": "BipedalWalker-v3"}
r,l,t
-91.879391,121,0.204773
-92.07598,115,0.302832
-91.752397,126,0.389207
-92.071753,143,0.485585
-91.818409,145,0.582261
-91.355557,121,0.662285
-91.888548,118,0.741953
-91.486989,108,0.814313
-92.58951,101,0.882574
-92.153643,110,0.956688
-91.801389,143,1.054705
-91.886153,119,1.13598
-91.825486,107,1.208009
-91.732558,135,1.325643
-91.777626,131,1.417577
-92.166129,112,1.499007
-91.95213,110,1.580306
-91.464806,117,1.658806
-92.05987,118,1.737884
-91.93039,120,1.819026
-99.536982,137,1.912607
-92.07934,114,1.989174
-92.010226,128,2.074544
-92.058701,114,2.151593
-92.045443,111,2.225668
-91.296719,117,2.304905
-91.915473,120,2.386123
-91.880161,119,2.465657
-92.15459,128,2.549791
-99.96025,102,2.618724
-91.914102,112,2.695166
-92.019651,116,2.773318
-91.84779,113,2.849459
-92.096941,118,2.929603
-91.877424,113,3.005865
-99.920533,137,3.095455
-91.900962,120,3.177214
-92.01504,119,3.262422
-100.145104,114,3.343521
-91.91142,123,3.427485
-92.204502,111,3.502485
-91.815168,133,3.590643
-91.551031,130,3.676183
-91.582074,117,3.754399
-92.075516,122,3.839203
-92.123326,120,3.921495
-92.113092,116,3.999764
-92.048404,119,4.081126
-99.59239,113,4.156792
-91.380484,130,4.244125
-92.03331,110,4.320181
-91.994993,112,4.397523
-91.951162,109,4.47119
-100.040429,121,4.551403
-92.121126,119,4.631926
-91.48866,122,4.7122
-91.919239,122,4.794701
-99.686586,117,4.872587
-92.054004,116,4.949749
-99.602827,142,5.043047
-91.945177,115,5.121773
-91.665003,110,5.1965
-91.632425,136,5.285618
-92.11162,112,5.365963
-92.066254,119,5.447223
-91.858062,117,5.5262
-92.072134,116,5.604307
-92.091468,114,5.681411
-91.930184,108,5.754059
-92.143284,124,5.859069
-92.113334,113,5.962478
-91.944553,136,6.075548
-92.108453,116,6.172158
-91.645975,116,6.259259
-92.020423,106,6.336066
-92.228434,120,6.420182
-100.03815,174,6.534497
-91.945639,116,6.617492
-91.937076,117,6.699827
-91.844071,139,6.796778
-92.140401,132,6.890715
-99.938358,314,7.094893
-91.500074,121,7.18198
-91.493103,119,7.266317
-91.601879,102,7.338631
-91.98034,124,7.425313
-91.741829,116,7.506157
-91.644545,117,7.586598
-91.943998,113,7.665393
-91.922621,118,7.750295
-91.802947,118,7.833493
-92.05075,108,7.911732
-92.066657,116,7.99547
-91.685899,110,8.076866
-91.645662,116,8.162604
-91.893331,124,8.245489
-91.964368,117,8.332739
-91.618816,112,8.454042
-92.087327,118,8.546732
-92.091616,107,8.623269
-91.981079,118,8.709233
-92.055552,118,8.806643
-91.492823,113,8.924103
-91.489539,119,9.019547
-92.20797,109,9.110292
-91.590962,109,9.198542
-91.599683,110,9.297529
-92.013504,124,9.401029
-91.572089,116,9.503942
-92.785665,123,9.598929
-92.170006,124,9.695268
-92.132863,114,9.786247
-91.985577,112,9.888408
-91.990749,115,9.987427
-91.859218,115,10.074724
-92.031926,119,10.162031
-92.10918,116,10.24305
-91.869216,111,10.323027
-92.044346,112,10.401836
-92.140887,123,10.488413
-91.364875,115,10.571604
-92.079707,110,10.649408
-92.030806,115,10.732943
-91.81102,121,10.816875
-92.08715,108,10.893232
-92.113799,120,10.978282
-92.026579,108,11.05354
-92.052922,117,11.134532
-91.569126,109,11.346461
-91.914179,104,11.426309
-92.017425,107,11.503746
-91.926474,105,11.57661
-91.819575,102,11.647373
-92.610686,92,11.712434
-92.434413,93,11.778073
-91.935786,103,11.85153
-91.921677,102,11.923198
-91.920619,113,12.001386
-91.56444,112,12.082306
-92.242132,106,12.178589
-93.221498,204,12.351015
-92.098256,107,12.431799
-91.133963,111,12.520823
-91.767862,106,12.614935
-91.453707,109,12.718555
-92.123232,104,12.81137
-91.886867,107,12.903092
-91.739027,113,12.998469
-92.969059,85,13.072573
-92.252046,105,13.163212
-93.665908,106,13.24951
-93.648726,109,13.340566
-91.659643,108,13.433288
-91.991289,110,13.513407
-5.178091,1600,14.534715
-93.77731,116,14.617527
-91.500372,109,14.700776
-92.196642,104,14.778549
-91.357559,110,14.856569
-92.109007,98,14.926267
-93.61236,110,15.003772
-93.386268,118,15.089287
-91.29739,108,15.202211
-91.975507,107,15.305183
-92.27541,94,15.389011
-91.876653,104,15.470232
-92.234266,94,15.538232
-91.471311,109,15.612727
-92.554086,86,15.671995
-91.836315,110,15.746894
-92.069855,100,15.816022
-94.541124,79,15.872157
-91.633495,109,15.944642
-91.717429,105,16.014537
-91.965724,110,16.090212
-93.216162,104,16.162554
-91.542949,97,16.229308
-92.27948,103,16.299481
-91.64813,113,16.37712
-91.612287,115,16.453545
-91.695412,106,16.524991
-92.01696,100,16.595338
-91.309358,110,16.668953
-91.955386,106,16.740047
-92.03611,110,16.81614
-5.775771,1600,17.844668
-92.012497,109,17.918408
-91.936215,100,17.9872
-92.189253,108,18.059067
-94.420095,89,18.121018
-92.132504,105,18.539864
-91.865373,106,18.613836
-91.771412,109,18.688407
-91.586073,106,18.760114
-93.612724,101,18.829168
-92.348446,92,18.892892
-91.910174,108,18.972117
-91.661242,110,19.060594
-92.250689,101,19.131477
-92.525825,86,19.192297
-92.166357,103,19.262822
-92.42347,90,19.32589
-91.935664,106,19.397793
-93.053365,110,19.47554
-92.267086,104,19.550182
-93.76648,132,19.644766
-91.869861,106,19.728658
-92.076336,98,19.801559
-91.517503,106,19.876262
-92.322834,95,19.946978
-93.147062,84,20.006946
-91.80838,104,20.078315
-91.635976,104,20.150352
-5.632915,1600,21.297319
-91.683637,105,21.381957
-92.324516,101,21.451409
-92.634152,90,21.516586
-92.642895,95,21.589854
-91.901977,108,21.681794
-92.083744,106,21.764664
-91.875616,106,21.847146
-92.174064,95,21.921328
-91.737604,110,22.011764
-91.530858,109,22.096258
-92.165724,108,22.179092
-92.246867,107,22.26266
-91.91269,103,22.339367
-92.084039,106,22.413305
-92.034978,103,22.484262
-92.040249,105,22.556801
-92.077894,110,22.64127
-92.440033,92,22.720252
-92.475372,100,22.817118
-91.461747,111,22.89875
-92.42819,101,22.968316
-91.897077,113,23.050096
-93.823157,176,23.189169
-92.200866,100,23.265122
-93.886207,128,23.350789
-92.15706,106,23.424584
-91.620533,107,23.501681
-94.12947,106,23.585506
-92.047705,116,23.678042
-91.326688,107,23.757646
-91.708417,113,23.838425
-91.811558,112,23.928922
-91.892372,108,24.015693
-92.004692,105,24.101863
-92.307054,95,24.182113
-92.048224,108,24.271606
-93.174449,82,24.340569
-92.184572,103,24.425656
-91.861634,103,24.515676
-91.835792,113,24.614414
-5.536478,1600,25.710491
-91.760589,106,25.782078
-91.895793,99,25.863717
-93.720984,104,25.937912
-91.906721,103,26.008638
-91.714694,107,26.081564
-94.019847,93,26.14619
-91.766036,110,26.220457
-94.112414,98,26.287361
-92.100585,103,26.357812
-93.573129,167,26.469079
-91.300568,111,26.544345
-91.533893,109,26.616842
-94.501725,103,26.68724
-91.810291,110,26.76183
-91.944694,107,26.83446
-91.523021,100,26.903399
-91.367628,111,26.978921
-91.750342,107,27.052511
-91.498586,110,27.126968
-94.357569,96,27.191872
-93.091374,82,27.249231
-92.89924,85,27.310187
-91.61717,112,27.387733
-6.410505,1600,28.379972
-91.357654,111,28.455436
-91.551951,110,28.529294
-92.820529,85,28.587841
-91.888614,111,28.66201
-92.400923,94,28.72704
-91.722392,109,28.803332
-6.774865,1600,29.861868
-91.998603,115,29.944409
-91.964928,100,30.013842
-91.843275,111,30.090891
-91.368379,112,30.16675
-92.856128,91,30.230216
-93.816252,136,30.32013
-5.310132,1600,31.335449
-91.726076,110,31.409141
-91.91672,100,31.476968
-92.549817,92,31.540684
-91.980786,98,31.607256
-91.762369,106,31.680705
-92.116477,100,31.749094
-91.785849,103,31.819601
-92.563949,87,31.88067
-91.853906,104,31.950584
-91.723467,111,32.024977
-91.873771,102,32.094244
-93.776172,97,32.160448
-92.070885,102,32.232205
-92.005615,101,32.303323
-92.931636,87,32.363869
-93.755599,119,32.442658
-7.438039,1600,33.466785
-91.380997,110,33.541153
-92.222331,98,33.609079
-92.035542,101,33.677771
-92.08958,100,33.745663
-91.349678,114,33.822492
-91.493592,111,33.89639
-91.671938,109,33.969156
-91.494116,110,34.043398
-91.414371,112,34.118531
-91.356959,112,34.194122
-93.79783,118,34.273948
-91.746972,109,34.348737
-92.112863,97,34.417581
-93.665764,135,34.508057
-91.813463,111,34.584539
-92.834282,92,34.648069
-91.611778,111,34.722514
-92.888421,91,34.786267
-91.598636,109,34.859621
-93.966247,104,34.929384
-92.03702,97,34.995167
-91.397525,112,35.073428
-94.005734,108,35.146094
-91.985018,97,35.212805
-92.053346,102,35.282684
-6.467835,1600,36.579642
-91.801231,99,36.667192
-93.993002,96,36.765459
-91.799035,108,36.855102
-91.542141,108,36.937414
-91.913422,103,37.016124
-6.941132,1600,38.239298
-91.344628,114,38.330478
-92.809818,91,38.402514
-93.878306,127,38.494705
-91.762668,103,38.566823
-93.629139,79,38.622015
-91.78479,106,38.69315
-93.773156,115,38.771396
-91.788474,111,38.860173
-91.802371,109,38.949069
-92.147084,99,39.026408
