#{"t_start": 1706118526.1535752, "env_id": "LunarLander-v2"}
r,l,t
-122.95102,81,0.237723
-179.96041,74,0.282226
-386.079426,85,0.3361
-210.09685,93,0.392436
-323.257236,87,0.449512
-490.791952,54,0.508388
-156.550541,83,0.596173
-405.822517,67,0.65802
-764.041613,81,0.735559
-467.168603,74,0.791887
-693.107807,76,0.841526
-118.602098,89,0.898249
-86.142074,52,0.928794
-193.348864,54,0.96621
10.667021,92,1.020205
-144.187491,84,1.075727
-144.596488,53,1.189789
-191.475415,74,1.233999
-232.701072,81,1.284122
-227.762321,52,1.315872
-133.079977,65,1.356519
-449.195427,89,1.410238
-599.420501,65,1.452015
-87.76036,58,1.487652
-223.201376,53,1.519284
-204.171878,72,1.563542
-171.689553,86,1.615114
-35.270261,69,1.657701
-581.085607,62,1.697355
-371.454534,55,1.729995
-131.111836,52,1.763354
-612.172169,66,1.805089
-356.246393,82,1.864239
-412.188681,49,1.894029
-741.334342,78,1.942886
-132.905055,56,1.979435
-120.093681,56,2.013608
-49.68165,102,2.075085
-142.623162,83,2.124642
-156.552576,82,2.175501
-570.047496,83,2.225689
-95.644071,53,2.257571
-175.755704,79,2.305998
-467.535208,53,2.338041
-91.935127,56,2.370711
-132.799827,55,2.405877
-150.342509,63,2.445164
-143.067777,59,2.482217
-86.865505,53,2.521594
-355.828665,52,2.553636
-150.376753,75,2.60056
-125.950486,68,2.643507
-525.474303,68,2.686844
-128.739607,59,2.722316
-613.081497,65,2.761763
-172.854225,69,2.805298
-483.623791,73,2.852171
-150.850159,89,2.908135
-127.131201,60,2.945406
-384.088565,65,2.98501
-155.665862,86,3.038346
-752.279386,74,3.082652
-120.044147,52,3.116391
-470.447161,57,3.152509
-565.662243,77,3.209874
-685.268832,84,3.261379
-611.987731,72,3.306578
-89.309778,54,3.339612
-143.244723,70,3.381059
-165.753394,75,3.426565
-131.047762,62,3.464709
-710.640156,72,3.508952
-316.157158,74,3.553643
-173.030894,73,3.596927
-131.090227,73,3.641409
-87.798179,52,3.672794
-184.139095,78,3.720189
-306.94714,52,3.751034
-194.835081,87,3.802829
-43.056998,73,3.850383
-170.317897,66,3.895742
-82.468598,61,3.93596
-393.970486,53,3.968907
-137.662654,75,4.012374
-116.506678,65,4.052785
-111.1253,88,4.10368
-152.15606,88,4.159518
-103.127217,61,4.196839
-133.117913,65,4.237732
-146.399328,60,4.273648
31.825912,83,4.321597
-219.070331,89,4.378628
-129.347772,57,4.412288
-313.745601,73,4.45864
-448.04934,55,4.492501
-112.93368,88,4.545555
-163.307395,69,4.591992
-226.04925,72,4.635268
-405.157477,88,4.691104
-425.662405,79,4.738019
-760.713975,78,4.789346
-705.936836,109,4.857287
-676.2736,76,4.90409
-94.560171,90,4.960417
-267.591371,63,4.999471
-151.383547,80,5.045802
-115.965248,78,5.094612
-100.156003,87,5.144745
-129.711167,55,5.179609
-340.885121,54,5.212867
-101.621577,75,5.25602
-121.382154,78,5.304389
-476.949453,68,5.351407
-153.390801,54,5.385734
-88.405722,48,5.415553
-140.043917,66,5.454274
-153.028947,64,5.494733
-108.037151,64,5.533392
-135.711215,79,5.582072
-118.18405,75,5.628061
-101.999963,79,5.676376
-148.505408,80,5.72373
-492.66955,65,5.762451
-176.220673,83,5.815503
-169.533847,65,5.854409
-135.574044,51,5.894472
-131.993085,60,5.932633
-91.064769,55,5.965986
-140.569291,71,6.018619
-202.791206,64,6.055606
-131.654552,55,6.089761
2.568773,84,6.141853
-159.080855,63,6.178697
-155.030145,61,6.218775
-73.634032,54,6.250817
-123.679315,55,6.282481
-167.403184,66,6.325238
-125.485769,87,6.37559
-433.542425,84,6.428067
-636.654676,59,6.466029
-142.744205,84,6.516908
-109.647786,58,6.552768
-93.332933,80,6.602766
-124.370368,76,6.648098
-141.272279,55,6.687465
-218.695139,64,6.728712
-131.236133,55,6.761182
-122.591869,66,6.800573
-143.022432,67,6.846978
-136.914011,64,6.884651
-310.576201,75,6.93099
-280.951026,55,6.967049
-184.855617,72,7.011749
-151.662533,82,7.060096
-201.667286,84,7.10861
-118.377652,66,7.158101
-115.229565,77,7.203197
-184.803431,90,7.26039
-224.361222,77,7.305055
-145.320154,89,7.360955
-120.963647,75,7.411339
-322.133939,84,7.465708
-615.879464,69,7.505986
-447.913072,55,7.542047
-222.238807,94,7.598268
-111.817724,60,7.635482
-122.177567,75,7.68151
-487.575924,54,7.713387
-121.549814,70,7.756238
-142.369869,72,7.800014
-136.308065,80,7.850011
-24.85934,112,7.916344
-124.352601,80,7.968924
-147.012947,93,8.02346
-334.970095,66,8.066268
-138.245797,60,8.102246
-125.857472,71,8.155898
-155.619921,86,8.208275
-184.548071,74,8.254212
-128.621594,60,8.29043
-111.837639,71,8.331651
-677.943204,69,8.375886
-134.28119,69,8.417353
-136.17512,70,8.460619
-196.152568,89,8.513671
-113.275538,75,8.560479
-141.00611,66,8.601761
-356.841576,70,8.643054
-165.75735,63,8.683861
-170.229216,84,8.732318
-418.111971,50,8.764383
-180.800432,68,8.805368
-145.513212,91,8.870871
-103.700728,65,8.910897
-89.563345,89,8.966923
-94.002331,87,9.020067
-368.944387,68,9.060563
-125.926276,53,9.095622
-169.829015,73,9.139422
-119.781265,68,9.181651
-122.025348,62,9.219035
-95.065442,64,9.255841
-1000.08499,86,9.310567
-129.95768,66,9.349497
-6.725127,68,9.392441
-162.869867,66,9.432615
-97.247388,54,9.464916
-109.848643,57,9.500475
-103.359489,56,9.539973
-45.164466,85,9.593575
-143.035793,65,9.63368
-109.17253,54,9.665653
-116.763214,53,9.700011
-141.011069,64,12.765931
-105.354202,72,12.812137
-130.593451,86,12.863016
-184.044777,70,12.909382
-148.219735,86,12.961007
-121.444265,83,13.013571
-154.643517,79,13.060684
-148.991234,62,13.098994
-145.852789,65,13.139612
-140.176517,84,13.191245
-151.229058,66,13.230772
-135.030344,76,13.286784
5.375474,94,13.368695
-132.575491,72,13.421139
-252.960602,88,13.473225
-47.578118,106,13.538904
-194.843947,90,13.593152
-125.956546,65,13.632058
-120.384587,66,13.671009
-168.774403,85,13.723877
-161.637141,56,13.757529
-111.466464,88,13.812211
11.458433,64,13.851886
-131.147775,82,13.903664
-96.427641,54,13.936188
-122.643138,57,13.971128
-135.737339,89,14.025716
-99.778181,55,14.065223
-97.929424,56,14.099062
-142.133942,59,14.137588
-146.020757,75,14.181729
-131.111781,58,14.218442
-160.953016,77,14.264865
-351.758359,68,14.304419
-115.35853,53,14.339828
3.079665,98,14.399261
-144.663735,56,14.434884
-131.080555,51,14.467407
-164.854984,71,14.508562
-132.074248,67,14.556012
-128.836104,63,14.595327
-97.668527,55,14.630914
-152.746608,74,14.675935
-124.765976,52,14.714602
-84.150942,88,14.770447
-164.545622,59,14.805673
-186.731025,90,14.863716
-111.623598,60,14.899317
-103.47457,60,14.937572
6.595861,92,14.993914
-125.578576,80,15.042341
-123.551527,63,15.081026
-123.224417,53,15.112237
-169.553709,79,15.162969
-137.332058,68,15.203094
-125.634877,80,15.25213
-146.011696,60,15.288229
-134.044659,81,15.337602
-232.65004,77,15.384313
-171.181973,83,15.443544
-168.021643,89,15.49754
-107.243984,71,15.539215
-130.880014,61,15.579733
-936.404012,88,15.632561
-143.534665,88,15.687912
-107.410849,54,15.720271
-136.59714,55,15.754605
-111.662695,82,15.803575
-172.188539,73,15.846426
-113.346259,65,15.888206
-139.313884,65,15.927312
-135.90132,67,15.971121
-91.414755,89,16.024064
-542.996357,77,16.071834
-90.828242,52,16.104362
-333.062286,61,16.148748
-145.762165,76,16.197133
-134.509171,56,16.23048
-279.50354,85,16.283664
-132.390705,56,16.31816
-150.557374,64,16.355743
-11.413795,80,16.407073
-132.669814,77,16.452222
-133.679995,59,16.489698
-128.448813,57,16.524446
-137.473715,70,16.565013
-112.753434,53,16.598968
-265.808329,50,16.631176
-131.007926,59,16.665859
-15.597536,60,16.704634
-117.840735,53,16.73659
-469.858191,79,16.793687
-158.481137,78,16.841665
-157.600261,63,16.883172
-114.266855,61,16.92102
-119.459649,78,16.967542
-158.598865,66,17.008727
-160.306422,65,17.047548
-285.002175,99,17.107394
-111.464301,88,17.16032
-149.292781,88,17.214938
-146.544922,63,17.25274
-104.880503,55,17.285686
-132.285586,69,17.33109
-127.13438,69,17.371945
-158.689127,71,17.416034
-124.961064,59,17.452292
-159.7901,67,17.501088
-132.41758,49,17.53148
-165.721975,65,17.569737
-166.515416,85,17.622062
-137.687793,68,17.663681
-140.839848,66,17.702768
-119.636592,79,17.75175
-141.951342,83,17.799532
-92.807854,53,17.833945
-105.639001,61,17.871642
-143.147442,61,17.908715
-111.962388,83,17.966387
-167.979907,61,18.00187
-140.31551,58,18.039285
-132.299157,85,18.088817
-100.509136,55,18.123863
24.958592,77,18.177802
-142.491344,67,18.217129
-74.481103,58,18.254503
-124.775187,78,18.300889
-133.037402,63,18.339988
-98.118278,83,18.390212
-134.064029,64,18.43046
-178.931197,80,18.479712
-110.174865,53,18.511042
-124.427923,53,18.545484
24.939492,76,18.591114
-170.697558,82,18.641604
-130.826474,82,18.690845
-98.407724,51,18.721744
-149.123837,58,18.758861
22.055647,74,18.804005
-121.460145,90,18.869589
-101.402967,86,18.920665
-170.176427,65,18.963469
-185.352116,81,19.012668
-186.133706,91,19.068111
-142.394833,62,19.105514
-149.295093,57,19.140299
-120.815993,65,19.182193
-104.795472,54,19.214458
-131.693641,66,19.254671
-118.295805,52,19.285235
-129.780006,63,19.323214
-161.224154,88,19.377137
-91.873561,88,19.429881
-125.148129,71,19.475121
-139.989121,53,19.507494
-94.888067,53,19.544822
-119.921223,71,19.588863
-235.012114,75,19.633484
-140.430138,79,19.681783
-7.769485,53,19.713999
-258.825707,89,19.767498
-37.145912,59,19.802881
-36.254022,94,19.858905
-134.379924,63,19.89787
-151.036191,76,19.945196
