#{"t_start": 1706038780.0457294, "env_id": "LunarLander-v2"}
r,l,t
-677.224622,82,1.528364
-279.386754,71,1.563192
-627.732652,100,1.615364
-248.238161,74,1.652236
-176.480537,93,1.701009
-593.389381,64,1.734627
-670.10321,109,1.792166
-494.272301,69,1.827156
-302.712224,57,1.855825
-1126.325016,155,1.935419
-528.225643,84,1.9762
-175.956468,79,2.016737
-363.656985,77,2.055057
-790.673496,82,2.098643
-863.916213,85,2.142755
-316.901634,75,2.178806
-684.637496,74,2.231799
-235.016858,94,2.277325
-795.556937,82,2.319663
-369.139007,54,2.348337
-148.476271,60,2.377441
-418.790065,58,2.408999
-295.3827,57,2.437143
-308.50895,70,2.471646
-505.35028,70,2.508271
-154.270524,68,2.54072
-1302.711873,139,2.606561
-1184.190918,139,2.678235
-580.82219,81,2.718621
-105.240362,52,2.743978
-573.463729,73,2.780107
-454.093162,122,2.839219
-572.740077,62,2.877254
-79.00595,54,2.905375
-418.348639,155,2.982286
-224.543612,52,3.008144
-626.506811,65,3.042628
-520.95684,86,3.085025
-161.473367,67,3.117705
-175.188239,89,3.165199
-355.010116,202,3.263358
-572.024383,373,3.444348
-776.467376,86,3.486494
-826.814065,88,3.528454
-619.462923,67,3.565868
-336.998471,52,3.591902
-112.811453,56,3.619263
-153.710693,70,3.655025
-174.126506,56,3.690279
-207.902556,56,3.717671
-125.419936,59,3.74991
-452.467197,59,3.780167
-425.16915,61,3.809821
-172.89019,76,3.847924
-355.335708,57,3.876297
-524.208401,65,3.908161
-320.660185,53,3.933703
-98.272801,56,3.964714
-858.939017,117,4.022473
-102.52498,85,4.065819
-221.697949,56,4.095668
-619.15524,73,4.132924
-222.455217,54,4.161835
-226.060644,66,4.194278
-611.952863,66,4.234288
-114.413185,87,4.279482
-479.323576,89,4.323122
-887.781914,83,4.366529
-317.411304,52,4.392667
-390.04778,52,4.417964
-811.867365,76,4.454448
-150.098322,60,4.490707
-499.154305,74,4.528669
-598.754015,101,4.578543
-357.215327,64,4.609877
-112.727093,53,4.635458
-119.508492,68,4.67168
-472.228059,76,4.707827
-601.64948,65,4.74045
-636.080489,82,4.783554
-735.052772,76,4.827083
-360.021672,61,4.856528
-667.542413,126,4.919808
-621.368722,114,4.973195
-279.595386,53,5.002212
-763.031191,111,5.05522
-461.602445,59,5.087933
-601.844655,101,5.141363
-288.485377,67,5.174296
-442.533715,61,5.206602
-726.677055,77,5.245337
-542.720428,70,5.279123
-483.182008,61,5.311312
-471.297898,69,5.345763
-262.715766,51,5.37105
-379.659818,88,5.416623
-88.278597,59,5.45204
-297.881363,66,5.494305
-139.393413,62,5.525583
-1064.531166,89,5.569028
