#{"t_start": 1706163500.464124, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
297.422374,32,0.597711
372.017872,40,0.618819
222.543069,24,0.62931
278.875058,30,0.641378
278.299229,30,0.660311
269.359317,29,0.672489
343.7239,37,0.69035
259.605237,28,0.701399
231.635616,25,0.714977
269.273639,29,0.726885
203.708622,22,0.735818
241.087187,26,0.745677
231.817008,25,0.758275
381.043813,41,0.774447
278.613455,30,0.785687
287.184791,31,0.800872
259.759866,28,0.814945
418.193095,45,0.831423
315.900943,34,0.844251
278.653486,30,0.855068
428.433896,46,0.874386
231.969492,25,0.884329
222.691069,24,0.893797
204.108012,22,0.906527
296.950879,32,0.922895
213.408688,23,0.931734
306.278982,33,0.944043
399.972735,43,0.960376
287.820058,31,0.97542
250.334963,27,0.98545
269.149385,29,0.996208
269.294908,29,1.00692
241.277079,26,2.712692
362.916837,39,2.727386
362.306826,39,2.743007
306.757246,33,2.759068
269.202967,29,2.773896
269.111218,29,2.786179
297.256104,32,2.799426
390.028022,42,2.815264
194.407107,21,2.825888
418.391829,45,2.842312
212.948016,23,2.851931
342.925854,37,2.871257
362.573737,39,2.890141
259.75254,28,2.901036
232.059162,25,2.910139
353.244662,38,2.923955
259.754847,28,2.938757
316.033784,34,2.951403
269.308326,29,2.961944
287.554409,31,2.974588
437.990295,47,2.998718
334.250391,36,3.012519
241.048993,26,3.022619
259.714622,28,3.033093
185.306652,20,3.043847
250.751038,27,3.054983
287.990583,31,3.06635
297.361901,32,3.078164
278.473384,30,3.095923
231.570997,25,3.105349
231.823995,25,3.114477
278.582186,30,3.125454
297.116531,32,4.725315
334.624544,36,4.73973
203.548631,22,4.748812
250.463559,27,4.758819
231.672421,25,4.772677
259.597145,28,4.78744
390.623808,42,4.804571
259.874684,28,4.815869
222.582847,24,4.828747
250.650417,27,4.839194
268.980508,29,4.85061
325.257943,35,4.863042
334.451967,36,4.881276
259.63422,28,4.895679
250.595128,27,4.905679
288.319404,31,4.918221
344.057219,37,4.935653
250.610232,27,4.94697
222.909461,24,4.956872
241.195295,26,4.966931
278.599542,30,4.981449
409.223664,44,4.997935
185.506952,20,5.00977
231.831718,25,5.02007
240.886051,26,5.03259
362.61706,39,5.046869
222.69099,24,5.0566
297.271987,32,5.068712
269.138239,29,5.083423
222.655323,24,5.092097
269.034341,29,5.103384
222.708254,24,5.111972
334.669073,36,5.134667
297.314499,32,5.146368
278.505381,30,6.700311
278.723035,30,6.714446
419.057748,45,6.747201
306.359167,33,6.764543
259.60982,28,6.775362
325.12722,35,6.789391
222.501964,24,6.802708
222.554062,24,6.811905
306.158322,33,6.824292
334.966481,36,6.83716
315.702513,34,6.855872
353.572493,38,6.872055
333.680645,36,6.88732
306.719573,33,6.899525
315.859424,34,6.915787
241.331721,26,6.925716
231.97321,25,6.934961
241.109335,26,6.944694
287.587958,31,6.965022
203.969459,22,6.97337
222.518707,24,6.982115
213.15348,23,6.991321
259.457843,28,7.0048
278.547632,30,7.016285
241.000882,26,7.02611
297.255041,32,7.038303
306.367564,33,7.054506
334.159794,36,7.067954
297.264847,32,7.085471
343.880406,37,7.099999
288.232052,31,7.115425
250.488869,27,7.12598
362.702188,39,8.672439
278.464495,30,8.684595
240.928728,26,8.69866
241.00378,26,8.708332
399.733043,43,8.725989
231.689039,25,8.735985
427.716268,46,8.762136
222.570085,24,8.77124
241.522106,26,8.782114
241.174747,26,8.792267
315.658317,34,8.809359
269.155631,29,8.820624
316.015663,34,8.834168
194.644579,21,8.842158
231.799111,25,8.855339
278.331237,30,8.870338
213.158082,23,8.880453
446.458412,48,8.898318
315.695826,34,8.914759
194.827734,21,8.922685
240.796606,26,8.933024
241.227713,26,8.943283
259.669043,28,8.957363
269.290544,29,8.968318
269.407135,29,8.982165
231.43289,25,8.992141
278.713809,30,9.006418
175.978529,19,9.014179
325.367249,35,9.027873
231.687452,25,9.036983
212.862925,23,9.050612
447.026982,48,9.068658
446.810384,48,9.090821
343.079566,37,10.612185
231.987113,25,10.625792
279.015682,30,10.637978
361.674962,39,10.653125
213.168874,23,10.661965
325.646589,35,10.679329
222.388541,24,10.688748
231.769608,25,10.70171
380.880295,41,10.718147
344.305971,37,10.736616
465.222382,50,10.755914
409.600719,44,10.771551
269.101921,29,10.781854
231.564714,25,10.795
222.549312,24,10.807791
259.807801,28,10.8195
287.5504,31,10.831322
325.613774,35,10.847881
325.552615,35,10.861004
316.078328,34,10.873995
287.919791,31,10.885169
306.431435,33,10.900864
250.306771,27,10.911615
306.499609,33,10.926813
269.579219,29,10.937967
231.52969,25,10.950703
240.957549,26,10.961169
213.303239,23,10.970196
222.66562,24,10.97937
306.769054,33,10.99529
269.033743,29,11.006632
212.968132,23,11.015193
297.267557,32,11.030149
269.291729,29,12.585784
315.562629,34,12.599181
222.502752,24,12.608223
278.349858,30,12.619941
278.561902,30,12.637438
203.770519,22,12.645496
203.616009,22,12.655215
362.570265,39,12.670773
250.798919,27,12.685152
194.306134,21,12.692849
213.413306,23,12.702358
231.804705,25,12.711624
315.590342,34,12.729579
381.498878,41,12.750758
259.912116,28,12.761393
353.110586,38,12.775617
288.115996,31,12.790992
344.183455,37,12.804421
297.242718,32,12.815763
260.013315,28,12.825817
296.784779,32,12.841521
315.774332,34,12.856456
269.203728,29,12.870328
240.898263,26,12.880061
297.117293,32,12.894908
278.542265,30,12.906662
353.172166,38,12.921632
297.513069,32,12.933188
194.654603,21,12.944038
241.172943,26,12.954902
250.439516,27,12.966557
456.099846,49,12.990201
259.778639,28,13.004135
269.117181,29,14.587014
391.193144,42,14.603764
315.893884,34,14.616695
287.894086,31,14.63247
371.677406,40,14.647757
213.52231,23,14.656547
316.226425,34,14.66955
194.633295,21,14.680215
278.131009,30,14.691141
353.114212,38,14.711535
231.821657,25,14.721024
306.314198,33,14.737228
